Year,Location,State,Dead,Injured,Total,Race,Gender,Mental Health,Description,Latitude,Longitude,Party
2015,"San Bernardino, California",California,16,21,35,Asian American,Female,Unclear,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party.",34.1397345,-117.29424,Democratic
2015,"Colorado Springs, Colorado",Colorado,3,9,12,White American,Male,Unclear,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.",38.83522,-104.819801,Democratic
2015,"Colorado Springs, Colorado",Colorado,3,9,12,White American,Male,Unclear,"On Friday of November 27, 2015, the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.",38.8673066,-104.75723,Democratic
2015,"Columbus, Ohio",Ohio,4,1,4,White American,Male,Unclear,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",39.9886145,-82.989041,Republican
2015,"Minneapolis, Minnesota",Minnesota,0,5,5,White American,Male,Unclear,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",44.9635872,-93.267837,Democratic
2015,"Tennessee Colony, Texas",Texas,6,0,6,White American,Male,Unclear,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence.",31.8076,-95.8069,Republican
2015,"Jacksonville, Florida",Florida,4,1,4,Black or African American,Male,Unclear,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",30.3321612,-81.67577,Republican
2015,"Waycross, Georgia",Georgia,1,2,3,Black or African American,Male,Yes,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",31.2109454,-82.357935,Republican
2015,"Oakland, Maine",Maine,4,0,3,Unknown,Male,Unclear,"A gunman shot his girlfriend, his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",44.5499473,-69.707823,Republican
2015,"Colorado Springs, Colorado",Colorado,3,0,3,White American,Male,Unclear,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",38.8673066,-104.75723,Democratic
2015,"Colorado Springs, Colorado",Colorado,4,0,3,White American,Male,Unclear,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",38.8673066,-104.75723,Democratic
2015,"Colerain Township, Ohio",Ohio,2,1,3,White American,Male,Unclear,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",39.253268,-84.599655,Republican
2015,"Flagstaff, Arizona",Arizona,1,3,4,White American,Male,Unclear,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",35.1725658,-111.65854,Republican
2015,"Roseburg, Oregon",Oregon,9,9,18,Other,Male,Unclear,26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,43.2220556,-123.35224,Democratic
2015,"Roseburg, Oregon",Oregon,10,7,16,Two or more races,Male,Unclear,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",43.2220556,-123.35224,Democratic
2015,"Inglis, Florida",Florida,3,1,3,White American,Male,Unclear,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",29.0327063,-82.659193,Republican
2015,"Greenville, Georgia",Georgia,0,10,10,Black or African American,Male,Unclear,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,33.0291264,-84.714334,Republican
2015,"Platte, South Dakota",South Dakota,6,0,5,White American,Male,Unclear,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",43.3868272,-98.843572,Republican
2015,"Clearbrook (Greenwood), Minnesota",Minnesota,5,0,4,White American,Male,Yes,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",47.696188,-95.428441,Democratic
2015,"Bristol, Tennessee",Tennessee,3,1,4,White American,Male,Unclear,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",36.5560582,-82.214296,Republican
2015,"Roanoke, Virginia",Virginia,3,1,3,Black or African American,Male,Unclear,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",37.2782337,-79.958161,Republican
2015,"Rochester, New York",New York,3,4,7,Black or African American,Male,Unclear,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
 
 Drive-by, Gang involvement",43.1696837,-77.614337,Democratic
2015,"Houston, Texas",Texas,8,0,8,Black or African American,Male,Unclear,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,29.7970555,-95.367639,Republican
2015,"Lafayette, Louisiana",Louisiana,3,9,11,White American,Male,Yes,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",30.2123354,-92.031645,Republican
2015,"Suwanee, Georgia",Georgia,4,1,4,White American,Male,Unclear,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,34.0505755,-84.068723,Republican
2015,"Chattanooga, Tennessee",Tennessee,5,2,7,Other,Male,Unclear,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",35.047157,-85.311819,Republican
2015,"Chattanooga, Tennessee",Tennessee,5,3,7,White American,Male,Yes,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",35.0931812,-85.236768,Republican
2015,"River Forest, Illinois",Illinois,2,3,4,Unknown,Male,Unclear,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,41.8949995,-87.819414,Democratic
2015,"Morven, North Carolina",North Carolina,0,4,4,Black or African American,Male,Unclear,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",34.8637986,-79.999678,Republican
2015,"Charleston, South Carolina",South Carolina,9,1,10,White American,Male,Unclear,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",32.788387,-79.933143,Republican
2015,"Charleston, South Carolina",South Carolina,9,0,9,White American,Male,Unclear,"Nine people ? three men and six women including the church's pastor ? were shot and killed during a prayer meeting at a church in Charleston, South Carolina.",32.8129729,-79.96694,Republican
2015,"Miami Gardens, Florida",Florida,0,4,4,Black or African American,Male,Unclear,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",25.9432671,-80.242532,Republican
2015,"Menasha, Wisconsin",Wisconsin,3,1,4,Latin American,Male,Yes,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",44.210609,-88.437889,Republican
2015,"Deer Lodge, Montana",Montana,5,0,4,White American,Male,Unclear,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",46.3976186,-112.73293,Republican
2015,"Cleveland, Ohio",Ohio,3,1,3,Unknown,Male,Unclear,"On May 31, 2015, the shooter entered his ex-girlfriend's home and found his ex-girlfriend and her grandfather upstairs, shooting and killing both. He then took his own life.",41.4765756,-81.680515,Republican
2015,"Conyers, Georgia",Georgia,3,2,4,White American,Male,Unclear,"On May 31, 2015, the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store, he returned to his parents' home and shot and wounded them both.",33.6608627,-84.026885,Republican
2015,"Decatur, Illinois",Illinois,1,4,5,Black or African American,Male,Unclear,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation. The four other people were wounded.",39.8556637,-88.933465,Democratic
2015,"Tucson, Arizona",Arizona,5,0,4,Unknown,Male,Yes,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.",32.1535891,-110.96776,Republican
2015,"Newark, New Jersey",New Jersey,1,3,4,Black or African American,Male,Unclear,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
 
 The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",40.7316965,-74.184177,Democratic
2015,"Menasha, Wisconsin",Wisconsin,4,1,4,Unknown,Male,Yes,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people on a bridge at a park Sunday night, three fatally. Then the gunman also shot and killed himself.",44.2045591,-88.448459,Republican
2015,"Milwaukee, Wisconsin",Wisconsin,2,3,5,Unknown,Male,No,"On May 1, 2015, a suspect shot five people during an altercation in the street that stemmed from a family dispute shortly before 1 a.m. Five people were shot, two people from the same family were killed during a fight early Friday morning.",43.0642032,-87.967244,Republican
2015,"Gates, New York",New York,1,6,7,Black or African American,Male,Unclear,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",43.1569303,-77.693009,Democratic
2015,"Killeen, Texas",Texas,2,3,5,Black or African American,Male,Unclear,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments.",31.0792551,-97.733923,Republican
2015,"Phoenix, Arizona",Arizona,5,0,4,Unknown,Male,Unclear,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",33.5714588,-112.09049,Republican
2015,"Rome, Georgia",Georgia,1,3,4,Black or African American,Male,No,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",34.2677915,-85.188224,Republican
2015,"Indianapolis, Indiana",Indiana,0,5,5,Unknown,Male,No,"On Sunday evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",39.7772548,-86.146354,Republican
2015,"Daytona Beach, Florida",Florida,0,4,4,Black or African American,Male,No,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",29.1931344,-81.10173,Republican
2015,"Tulsa, Oklahoma",Oklahoma,4,0,3,Asian American,Male,Unclear,"On March 30, 2015, police discovered four bodies of a family, including two young boys, inside a home in Tulsa, Oklahoma on Wednesday in what appeared to be a murder-suicide. Officers discovered the bodies Wednesday afternoon as they conducted a welfare check requested by the mother's employer who was concerned after the woman failed to show up for work or call in sick for two days. A handgun was found near the father's body.",36.1354324,-95.913161,Republican
2015,"Panama City Beach, Florida",Florida,0,7,7,Black or African American,Male,No,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",30.2254021,-85.873713,Republican
2015,"Little Water, New Mexico",New Mexico,2,2,3,Unknown,Male,Unclear,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",36.44329,-108.72328,Republican
2015,"Mesa, Arizona",Arizona,1,5,6,White American,Male,No,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",33.422687,-111.81632,Republican
2015,"Cottonwood, Alabama",Alabama,3,1,3,White American,Male,No,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",31.0549687,-85.301001,Republican
2015,"Brookhaven, Mississippi",Mississippi,2,3,5,Black or African American,Male,Unclear,"On early Friday morning of March 13, the man accused of shooting the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",31.5803648,-90.443235,Republican
2015,"Tarboro, North Carolina",North Carolina,4,0,3,Black or African American,Male,Yes,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect.",35.9043447,-77.5564,Republican
2015,"Birmingham, Alabama",Alabama,1,2,3,Black or African American,Male,No,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight. After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",33.5282865,-86.795504,Republican
2015,"Tyrone, Missouri",Missouri,8,1,8,White American,Male,No,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",37.204442,-91.876583,Republican
2015,"Charlotte, North Carolina",North Carolina,3,0,3,Unknown,Male,No,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",35.226354,-80.836788,Republican
2015,"Clarkesville, Georgia",Georgia,3,2,4,White American,Male,No,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",34.6102571,-83.529181,Republican
2015,"Killeen, Texas",Texas,4,1,4,Black or African American,Male,No,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself.",31.0792551,-97.733923,Republican
2015,"Chapel Hill, North Carolina",North Carolina,3,0,3,White American,Male,No,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them.",35.9268147,-79.038504,Republican
2015,"New Port Richey, Florida",Florida,3,1,4,White American,Female,No,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",28.246533,-82.716903,Republican
2015,"Monroeville, Pennsylvania",Pennsylvania,0,3,3,Black or African American,Male,No,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",40.4257455,-79.760926,Republican
2015,"Douglasville, Georgia",Georgia,5,2,6,Black or African American,Male,No,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",33.7105929,-84.715643,Republican
2015,"King, North Carolina",North Carolina,4,0,3,White American,Male,Unclear,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",36.2761791,-80.355014,Republican
2015,"Syracuse, New York",New York,0,6,6,Black or African American,Male,No,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",43.0409342,-76.143768,Democratic
2015,"LaGrange, Georgia",Georgia,5,0,5,White American,Male,No,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",33.0360706,-85.028707,Republican
2015,"New York City, New York",New York,4,1,4,Black or African American,Male,No,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter then went to his car and shot himself.",40.6899641,-73.87205,Democratic
2015,"Omaha, Nebraska",Nebraska,3,5,8,Black or African American,Male,No,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",41.265922,-96.053814,Republican
2015,"Moscow, Idaho",Idaho,3,1,4,Asian American,Male,No,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her.",46.7305948,-116.999,Republican
2015,"Memphis, Tennessee",Tennessee,0,5,5,Black or African American,Male,No,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",35.1052898,-89.977349,Republican
2014,"Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",Pennsylvania,7,1,7,White American,Male,Yes,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",40.3935931,-75.496409,Republican
2014,"Morgantown, West Virginia",West Virginia,5,0,4,White American,Male,No,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",39.6340085,-79.948393,Democratic
2014,"Tallahassee, Florida",Florida,1,3,3,Black or African American,Male,Yes,"On November 19 just after midnight, a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",30.4549394,-84.252642,Republican
2014,"Marysville, Washington",Washington,5,1,6,Native American,Male,Unclear,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
 
 students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",48.050824,-122.17692,Democratic
2014,"Marysville, Washington",Washington,5,1,5,Native American,Male,No,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days.",48.0480241,-122.13596,Democratic
2014,"Albuquerque, New Mexico",New Mexico,2,3,4,Unknown,Male,No,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",35.1529052,-106.77914,Democratic
2014,"New Orleans, Louisiana",Louisiana,1,9,10,Two or more races,Male,No,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",30.0687242,-89.931474,Republican
2014,"Las Vegas, Nevada",Nevada,5,0,3,White American,Female,No,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.",36.1893192,-115.32649,Democratic
2014,"Seattle, Washington",Washington,1,2,3,Unknown,Male,Yes,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",47.6219958,-122.32365,Democratic
2014,"Santa Barbara, California",California,6,13,19,White American,Male,Yes,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",34.420872,-119.698341,Democratic
2014,"Isla Vista, California",California,7,7,10,White American,Male,Yes,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide.",34.4145857,-119.85812,Democratic
2014,"Kennesaw, Georgia",Georgia,1,6,6,White American,Male,No,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",34.0252967,-84.617668,Republican
2014,"Fort Hood, Texas",Texas,3,12,15,Latin American,Male,Unclear,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",31.1329,-97.765999,Republican
2014,"Killeen, Texas",Texas,4,16,19,Unknown,Male,Yes,"On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide.",31.0792551,-97.733923,Republican
2014,"San Francisco, CA",California,0,8,8,Black or African American,Male,No,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.",37.7545784,-122.44243,Democratic
2014,"Alturas, California",California,4,2,6,Native American,Female,Unclear,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",41.487104,-120.54224,Democratic
2014,"Alturas, California",California,4,2,6,Native American,Female,No,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person.",41.4911123,-120.54909,Democratic
2013,"Montgomery, Alabama",Alabama,3,5,8,Black or African American,Male,No,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.",32.3472957,-86.267302,Republican
2013,"Los Angeles, California",California,1,3,4,White American,Male,No,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.",34.1762209,-118.53995,Democratic
2013,"Sparks, Nevada",Nevada,2,2,3,Unknown,Male,Unclear,"On October 21, 2013, a 12-year old student at Sparks Middle School in Nevada, shot and injured two students and killed a teacher before killing himself.",39.5405839,-119.74829,Democratic
2013,"Washington, D.C.",D.C.,12,8,20,Black or African American,Male,Yes,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",38.874981,-76.99453,Democratic
2013,Washington D.C.,D.C.,13,3,15,Black or African American,Male,Yes,"On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers. Five other people were injured during the incident while trying to escape.",38.9048089,-77.016297,Democratic
2013,"Oklahoma City, Oklahoma",Oklahoma,4,0,4,White American,Male,Yes,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.",35.4677919,-97.519163,Republican
2013,"Dallas, Texas",Texas,4,4,8,Black or African American,Male,Unclear,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",32.794806,-96.766311,Republican
2013,"Salisbury , Pennsylvania",Pennsylvania,3,3,6,White American,Male,No,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",39.7534428,-79.08436,Republican
2013,"Hialeah, Florida",Florida,7,0,7,Latin American,Male,Unclear,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",25.8670105,-80.291463,Republican
2013,"Hialeah, Florida",Florida,7,0,6,Unknown,Male,No,"On July 26, 2013, a 42-year old man set fire to his apartment in Hialeah, Florida, and opened fire from his balcony and inside the apartment complex. Then he held two neighbors hostage during a stand-off with police until he was fatally shot by a SWAT team.",25.8529455,-80.28317,Republican
2013,"Santa Monica, California",California,6,3,9,White American,Male,Yes,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",34.008617,-118.49475,Democratic
